Kenpom,Matchups
Alabama St.,Alabama State
Arizona St.,Arizona State
Little Rock,Arkansas-Little Rock
Arkansas Little Rock,Arkansas-Little Rock
Boise St.,Boise State
Boston University,Boston
BYU,Brigham Young
Cal St. Bakersfield,California State-Bakersfield
Cal St. Fullerton,California State-Fullerton
Cal St. Northridge,California State-Northridge
UC Davis,California-Davis
UC Irvine,California-Irvine
UC Santa Barbara,California-Santa Barbara
Central Connecticut,Central Connecticut State
UCF,Central Florida
College of Charleston,"Charleston, South Carolina"
Cleveland St.,Cleveland State
Colorado St.,Colorado State
Coppin St.,Coppin State
Delaware St.,Delaware State
East Tennessee St.,East Tennessee State
Florida St.,Florida State
Fresno St.,Fresno State
Georgia St.,Georgia State
Illinois Chicago,Illinois-Chicago
Indiana St.,Indiana State
Iowa St.,Iowa State
Jackson St.,Jackson State
Jacksonville St.,Jacksonville State
Kansas St.,Kansas State
Kent St.,Kent State
Long Beach St.,Long Beach State
LIU Brooklyn,Long Island-Brooklyn
Louisiana St.,Louisiana State
Louisiana Lafayette,Louisiana-Lafayette
Loyola Chicago,"Loyola, Illinois"
Loyola MD,"Loyola, Maryland"
Miami FL,"Miami, Florida"
Miami OH,"Miami, Ohio"
Michigan St.,Michigan State
Middle Tennessee,Middle Tennessee State
Mississippi St.,Mississippi State
Mississippi Valley St.,Mississippi Valley
Monmouth,"Monmouth, New Jersey"
Morehead St.,Morehead State
Morgan St.,Morgan State
Mount St. Mary's,"Mt. St. Mary's, Maryland"
Murray St.,Murray State
UNLV,Nevada-Las Vegas
New Mexico St.,New Mexico State
Norfolk St.,Norfolk State
North Carolina St.,North Carolina State
UNC Asheville,North Carolina-Asheville
UNC Greensboro,North Carolina-Greensboro
UNC Wilmington,North Carolina-Wilmington
North Dakota St.,North Dakota State
Northwestern St.,Northwestern State
Ohio St.,Ohio State
Oklahoma St.,Oklahoma State
Oregon St.,Oregon State
Pacific,"Pacific, California"
Penn,Pennsylvania
Penn St.,Pennsylvania State
Portland St.,Portland State
Sam Houston St.,Sam Houston State
San Diego St.,San Diego State
South Carolina St.,South Carolina State
South Dakota St.,South Dakota State
USC,Southern California
SMU,Southern Methodist
Southern Miss,Southern Mississippi
St. John's,"St. John's, New York"
Saint Joseph's,"St. Joseph's, Pennsylvania"
Saint Louis,St. Louis
Saint Mary's,"St. Mary's, California"
Saint Peter's,St. Peter's
Texas A&M Corpus Chris,Texas A&M-Corpus Christi
TCU,Texas Christian
UT Arlington,Texas-Arlington
UTEP,Texas-El Paso
UTSA,Texas-San Antonio
Troy St.,Troy
Utah St.,Utah State
VCU,Virginia Commonwealth
Washington St.,Washington State
Weber St.,Weber State
Wichita St.,Wichita State
Wright St.,Wright State
Xavier,"Xavier, Ohio"
LSU,Louisiana State
Arkansas Pine Bluff,Arkansas-Pine Bluff