Sagarin,Matchups
Alabama St.,Alabama State
Albany-NY,Albany
American University,American
American U.,American
Arizona St.,Arizona State
Ark.-Little Rock,Arkansas-Little Rock
Little Rock,Arkansas-Little Rock
Ark.-Pine Bluff,Arkansas-Pine Bluff
Binghamton-NY,Binghamton
Boston University,Boston
BYU,Brigham Young
Cal Poly-SLO,Cal Poly
CS Bakersfield,California State-Bakersfield
CS Fullerton,California State-Fullerton
CS Northridge,California State-Northridge
UC Davis,California-Davis
UC Irvine,California-Irvine
UC Santa Barbara,California-Santa Barbara
Central Connecticut St.,Central Connecticut State
UCF(Central Florida),Central Florida
College of Charleston,"Charleston, South Carolina"
Colorado St.,Colorado State
East Tennessee St.,East Tennessee State
East Tennessee State(ETS,East Tennessee State
Hawai'i,Hawaii
Iona College,Iona
Long Island U.(LIU),Long Island-Brooklyn
Long Island University,Long Island-Brooklyn
Long Island U.,Long Island-Brooklyn
LSU,Louisiana State
Loyola-Chicago,"Loyola, Illinois"
Loyola-Maryland,"Loyola, Maryland"
Miami-Florida,"Miami, Florida"
Miami-Ohio,"Miami, Ohio"
Michigan St.,Michigan State
Middle Tennessee,Middle Tennessee State
Wis.-Milwaukee,Milwaukee
Mississippi St.,Mississippi State
MVSU(Miss. Valley St.),Mississippi Valley
Monmouth-NJ,"Monmouth, New Jersey"
Mount St. Mary's,"Mt. St. Mary's, Maryland"
Murray St.,Murray State
UNLV,Nevada-Las Vegas
No. Carolina A&T,North Carolina A&T
NC A&T,North Carolina A&T
NC Central,North Carolina Central
No. Carolina St.,North Carolina State
NC State,North Carolina State
NC Asheville,North Carolina-Asheville
NC Greensboro,North Carolina-Greensboro
NC Wilmington,North Carolina-Wilmington
North Florida(UNF),North Florida
Oakland-Mich.,Oakland
Ohio U.,Ohio
Ohio University,Ohio
Oklahoma St.,Oklahoma State
Pacific,"Pacific, California"
Penn St.,Pennsylvania State
Penn State,Pennsylvania State
Sam Houston St.,Sam Houston State
So. Carolina St.,South Carolina State
SE Louisiana,Southeastern Louisiana
Southern U.,Southern
SMU,Southern Methodist
Southern Miss,Southern Mississippi
St. John's,"St. John's, New York"
Saint Joseph's,"St. Joseph's, Pennsylvania"
Saint Joseph's-Pa.,"St. Joseph's, Pennsylvania"
Saint Louis,St. Louis
Saint Mary's-Cal.,"St. Mary's, California"
Saint Peter's,St. Peter's
Stony Brook-NY,Stony Brook
Texas A&M-CorpusChristi,Texas A&M-Corpus Christi
Texas A&M CorpusChristi,Texas A&M-Corpus Christi
TCU,Texas Christian
UTEP,Texas-El Paso
Texas-San Antonio(UTSA),Texas-San Antonio
Troy St.,Troy
UMBC(Md-Balt),UMBC
Utah St.,Utah State
VCU,Virginia Commonwealth
VCU(Va. Commonwealth),Virginia Commonwealth
Va. Commonwealth,Virginia Commonwealth
Weber St.,Weber State
Xavier-Ohio,"Xavier, Ohio"
Xavier,"Xavier, Ohio"